"aaer_event_key","first_release_url","most_recent_release_url"
251,"https://www.sec.gov/litigation/admin/34-47731.htm","https://www.sec.gov/litigation/admin/2017/34-82215.pdf"
390,"https://www.sec.gov/litigation/litreleases/lr18050.htm","https://www.sec.gov/litigation/litreleases/2015/lr23247.htm"
517,"https://www.sec.gov/litigation/admin/34-42742.htm","https://www.sec.gov/litigation/admin/2012/34-67048.pdf"
521,"https://www.sec.gov/litigation/admin/33-8338.htm","https://www.sec.gov/litigation/litreleases/2012/lr22335.htm"
536,"https://www.sec.gov/litigation/admin/34-46622.htm","https://www.sec.gov/litigation/litreleases/2006/lr19935.htm"
537,"https://www.sec.gov/litigation/litreleases/lr18241.htm","https://www.sec.gov/litigation/litreleases/lr18521.htm"
538,"https://www.sec.gov/litigation/admin/34-48485.htm","https://www.sec.gov/litigation/litreleases/lr18345.htm"
539,"https://www.sec.gov/litigation/admin/33-8284.htm","https://www.sec.gov/litigation/litreleases/2007/lr20185.htm"
540,"https://www.sec.gov/litigation/litreleases/lr18044.htm","https://www.sec.gov/litigation/litreleases/2007/lr20084.htm"
541,"https://www.sec.gov/litigation/admin/34-45962.htm","https://www.sec.gov/litigation/litreleases/lr19385.htm"
542,"https://www.sec.gov/litigation/admin/34-47641.htm","https://www.sec.gov/litigation/admin/34-47641.htm"
543,"https://www.sec.gov/litigation/admin/33-8118.htm","https://www.sec.gov/litigation/admin/33-8192.htm"
544,"https://www.sec.gov/litigation/admin/34-47339.htm","https://www.sec.gov/litigation/admin/34-48578.htm"
545,"https://www.sec.gov/litigation/litreleases/lr17623.htm","https://www.sec.gov/litigation/litreleases/lr19500.htm"
546,"https://www.sec.gov/litigation/litreleases/lr16586.htm","https://www.sec.gov/litigation/aljdec/id219lamfo.htm"
547,"https://www.sec.gov/litigation/admin/33-7976.htm","https://www.sec.gov/litigation/litreleases/lr17952.htm"
548,"https://www.sec.gov/litigation/litreleases/lr16388.htm","https://www.sec.gov/litigation/admin/34-48682.htm"
549,"https://www.sec.gov/litigation/admin/34-47167.htm","https://www.sec.gov/litigation/admin/34-48224a.htm"
550,"https://www.sec.gov/litigation/litreleases/lr17904.htm","https://www.sec.gov/litigation/litreleases/lr18857.htm"
551,"https://www.sec.gov/litigation/admin/34-47000.htm","https://www.sec.gov/litigation/litreleases/lr17898.htm"
552,"https://www.sec.gov/litigation/admin/34-46988.htm","https://www.sec.gov/litigation/admin/34-49565.htm"
553,"https://www.sec.gov/litigation/litreleases/lr17588.htm","https://www.sec.gov/litigation/litreleases/2006/lr19776.htm"
554,"https://www.sec.gov/litigation/litreleases/lr17869.htm","https://www.sec.gov/litigation/litreleases/lr17869.htm"
555,"https://www.sec.gov/litigation/admin/34-46909.htm","https://www.sec.gov/litigation/admin/34-46909.htm"
556,"https://www.sec.gov/litigation/admin/34-45880.htm","https://www.sec.gov/litigation/admin/2009/34-59390.pdf"
557,"https://www.sec.gov/litigation/litreleases/lr17835.htm","https://www.sec.gov/litigation/litreleases/lr17863.htm"
558,"https://www.sec.gov/litigation/litreleases/lr17776.htm","https://www.sec.gov/litigation/admin/34-46880.htm"
559,"https://www.sec.gov/litigation/admin/34-42326.htm","https://www.sec.gov/litigation/litreleases/lr18692.htm"
560,"https://www.sec.gov/litigation/litreleases/lr17852.htm","https://www.sec.gov/litigation/litreleases/lr17852.htm"
561,"https://www.sec.gov/litigation/admin/34-46845.htm","https://www.sec.gov/litigation/admin/2011/34-65600.pdf"
562,"https://www.sec.gov/litigation/litreleases/lr17816.htm","https://www.sec.gov/litigation/litreleases/lr17843.htm"
563,"https://www.sec.gov/litigation/litreleases/lr17627.htm","https://www.sec.gov/litigation/admin/2008/34-58023.pdf"
564,"https://www.sec.gov/litigation/litreleases/lr17815.htm","https://www.sec.gov/litigation/admin/34-46813.htm"
565,"https://www.sec.gov/litigation/admin/34-44842.htm","https://www.sec.gov/litigation/admin/34-46777.htm"
566,"https://www.sec.gov/litigation/admin/34-44460.htm","https://www.sec.gov/litigation/litreleases/lr18612.htm"
567,"https://www.sec.gov/litigation/litreleases/lr17407.htm","https://www.sec.gov/litigation/admin/34-50185.htm"
568,"https://www.sec.gov/litigation/litreleases/lr17491.htm","https://www.sec.gov/litigation/litreleases/lr17984.htm"
569,"https://www.sec.gov/litigation/litreleases/lr17782.htm","https://www.sec.gov/litigation/admin/34-47442.htm"
570,"https://www.sec.gov/litigation/litreleases/lr17779.htm","https://www.sec.gov/litigation/litreleases/lr17779.htm"
571,"https://www.sec.gov/litigation/admin/33-8135.htm","https://www.sec.gov/litigation/admin/34-46870.htm"
